"","mean","total","tech","bio","p.value","FDR"
"Plekho1",1.05253192382322,0.795684782077813,0.667891558554551,0.127793223523262,0.303442396716594,0.645131470210005
"Tnfaip8",0.949119710126911,0.760132092723866,0.632455020027112,0.127677072696754,0.293612981330019,0.645131470210005
"Thy1",0.513458323394907,0.555868479876736,0.428309309530033,0.127559170346703,0.211605061699665,0.645131470210005
"Plvap",1.09925744396825,0.808762730601455,0.681775584496092,0.126987146105362,0.308232062599573,0.645131470210005
"Birc3",0.851587618615949,0.721661113000958,0.594919368692591,0.126741744308367,0.283361743530607,0.645131470210005
"Evi2b",0.937011711747494,0.754571841178996,0.628009763229254,0.126562077949742,0.293933858243064,0.645131470210005
"Hdac9",0.868788797095462,0.728140415858614,0.601832013132988,0.126308402725626,0.286252112345516,0.645131470210005
"Trim7",0.751303498015216,0.677755809033959,0.55192407629856,0.125831732735399,0.269912406873662,0.645131470210005
"Card11",0.698968511499198,0.653233119696285,0.527517621530504,0.125715498165782,0.260809926282345,0.645131470210005
"Dnase1l3",0.805940525567538,0.701398453891757,0.575934972926251,0.125463480965506,0.279005253041872,0.645131470210005
"Rnase6",0.919273368397607,0.746499392867343,0.621389098724094,0.125110294143249,0.294109077912126,0.645131470210005
"Micall2",0.823111336690331,0.708168167476802,0.583187905036738,0.124980262440063,0.282211077411565,0.645131470210005
"DEPRECATED_ENSMUSG00000051506",1.00815888346069,0.777793770582821,0.653266058857359,0.124527711725463,0.304114686869614,0.645131470210005
"Eno1",1.12674704279987,0.812757277066727,0.688857882259373,0.123899394807354,0.314311922862505,0.645131470210005
"Ncf2",0.926973260129992,0.748059712448215,0.624278864058438,0.123780848389777,0.296952020942974,0.645131470210005
"S1pr4",0.944708654310914,0.754605030211144,0.630842128707898,0.123762901503246,0.298901209693703,0.645131470210005
"Haao",0.614863988200457,0.608812611694206,0.485150769691876,0.123661842002329,0.246535950256021,0.645131470210005
"Hist1h2ag",1.16506073246328,0.8216929325186,0.698217259506336,0.123475673012264,0.317197705069243,0.645131470210005
"Lilrb4a",1.00386801611855,0.774920182954209,0.651804456772476,0.123115726181732,0.305752372154834,0.645131470210005
"DEPRECATED_ENSMUSG00000011008",0.793478087077072,0.693579248187343,0.570584776822816,0.122994471364527,0.281073347464591,0.645131470210005
"Inpp4b",0.684313959508425,0.643341949139203,0.520423035559495,0.122918913579708,0.262669709392819,0.645131470210005
"Prag1",0.650840307259732,0.626678164068029,0.50377030538625,0.122907858681778,0.255888691529021,0.645131470210005
"Srebf2",1.63132236413048,0.885030127926162,0.762410224096156,0.122619903830006,0.332692285648649,0.645131470210005
"Clec9a",0.746922341271791,0.672146164592801,0.549935002605584,0.122211161987217,0.275056294999273,0.645131470210005
"Ctsz",1.91811582319383,0.884969226508257,0.762853602498627,0.12211562400963,0.333429781468379,0.645131470210005
"Grcc10",1.18771377107866,0.825159374573846,0.703459475779181,0.121699898794666,0.320887879464865,0.645131470210005
"Tap1",1.21515142642486,0.83100117047181,0.709598745771925,0.121402424699885,0.32273471811308,0.645131470210005
"Slc25a4",1.04931637436825,0.787926069696628,0.666866366966146,0.121059702730482,0.312716887372166,0.645131470210005
"Gpi1",2.33580620671173,0.847942564846162,0.727288373968482,0.120654190877681,0.327759395179927,0.645131470210005
"Sash3",0.7738143633311,0.682013000340673,0.56199253523239,0.120020465108284,0.282886526595905,0.645131470210005
"Zdhhc18",1.10227597707928,0.802316237997442,0.682569515582124,0.119746722415318,0.318548868077803,0.645131470210005
"Pou2f2",0.786032251962819,0.687080715215111,0.567353104319762,0.119727610895349,0.285196201312394,0.645131470210005
"Mllt6",0.994031447126161,0.767935311874132,0.648420415069521,0.119514896804611,0.310072660299322,0.645131470210005
"Sh3tc2",0.679534440099971,0.637498230577466,0.518083599700422,0.119414630877045,0.267689581219949,0.645131470210005
"Adam33",0.388302607011122,0.467020960472767,0.348067333850121,0.118953626622646,0.179045709325343,0.645131470210005
"Fam214b",0.935269604077292,0.745847830400923,0.627365498086313,0.11848233231461,0.305778307120467,0.645131470210005
"Herpud1",1.54559272333134,0.874964237319776,0.756962551818389,0.118001685501387,0.337535908176428,0.645131470210005
"Tut4",1.05789890253021,0.787425572101618,0.669594708216627,0.117830863884991,0.318032467572953,0.645131470210005
"Helq",0.695047818721883,0.643460196159248,0.525631145836853,0.117829050322396,0.273319540747866,0.645131470210005
"Lig1",1.27070571018617,0.838743061011332,0.720926781013367,0.117816279997965,0.330164262027232,0.645131470210005
"Nadk2",1.22291379060477,0.828163495171364,0.711298946395349,0.116864548776016,0.329313379127659,0.645131470210005
"Snx29",1.78215531417059,0.882686547317686,0.765956184488147,0.11673036282954,0.340971903461297,0.645131470210005
"Itgal",0.931230121542382,0.742489120082955,0.625866419203919,0.116622700879036,0.308157727701842,0.645131470210005
"Plaur",1.04480283113423,0.782026239094634,0.66542127850671,0.116604960587924,0.318741249232046,0.645131470210005
"Cdc25b",1.21971588908757,0.827148563593045,0.710600784447367,0.116547779145678,0.329590114101032,0.645131470210005
"Abhd17b",1.24078232559834,0.831092089204024,0.714944014916276,0.116148074287747,0.331105514346059,0.645131470210005
"Smoc2",0.887411001742304,0.725276644733436,0.609171342085057,0.116105302648379,0.304140831543805,0.645131470210005
"Otulin",1.21114605741249,0.824655812742788,0.70871406131472,0.115941751428068,0.329997545550798,0.645131470210005
"Itk",0.8627215339123,0.71518297977658,0.59940845805769,0.11577452171889,0.301743822839247,0.645131470210005
"Carmil2",0.744388257776854,0.664462671766442,0.548780159391005,0.115682512375438,0.285405386554503,0.645131470210005
"Hyou1",0.89541561109016,0.72773248507126,0.612280401546465,0.115452083524795,0.306057626498412,0.645131470210005
"Grap",1.11372061754751,0.800949391177073,0.685544339544071,0.115405051633002,0.325388538148107,0.645131470210005
"Slc38a5",0.629461782084808,0.608041745255439,0.492798373131075,0.115243372124364,0.264721512162868,0.645131470210005
"Rrm1",1.79737734520927,0.88106081302018,0.765892112208751,0.115168700811429,0.342972797909966,0.645131470210005
"Zfpm1",0.829209611830107,0.70054170873259,0.585730717130376,0.114810991602214,0.29906321320945,0.645131470210005
"Map2k1",0.925760386772129,0.738599675370539,0.62382522934196,0.114774446028578,0.31038777409933,0.645131470210005
"Bmyc",0.77752368356465,0.678373022977919,0.563627915627048,0.114745107350871,0.292033912231801,0.645131470210005
"Rasa2",0.869502591447987,0.716627332755409,0.602116019412368,0.114511313343041,0.304530413636705,0.645131470210005
"Sowaha",0.66759328619938,0.626653158462118,0.512183918630653,0.114469239831465,0.273923112348738,0.645131470210005
"Egfl7",0.918275173509401,0.735466599789828,0.621012754146336,0.114453845643491,0.310086951110932,0.645131470210005
"Pde7a",1.27509167863913,0.836201389826402,0.72174885422343,0.114452535602972,0.334898557090324,0.645131470210005
"Arpc2",1.09111801957563,0.793755962902729,0.679618424349085,0.114137538553644,0.325773239559487,0.645131470210005
"Rufy3",0.906504468108574,0.730663195650678,0.61654364064515,0.114119555005528,0.309334242367923,0.645131470210005
"Mybl2",1.39393259039078,0.854877150582478,0.740912200917496,0.113964949664982,0.339573466920098,0.645131470210005
"Gdpd2",0.692631421963081,0.638215039011548,0.52446439325703,0.113750645754518,0.27986795066959,0.645131470210005
"Gcsam",0.280831067444769,0.382150280321393,0.268642675065898,0.113507605255495,0.127936426341462,0.645131470210005
"Inpp5d",1.5992926554827,0.873989948720113,0.760676649291193,0.11331329942892,0.344365915214891,0.645131470210005
"Stat3",0.975864343361279,0.755336893358118,0.642063709004271,0.113273184353847,0.317603783638697,0.645131470210005
"Fam43a",0.771228335661859,0.673968984333872,0.560848494491493,0.113120489842379,0.293779712517343,0.645131470210005
"Ebf1",0.580083012347977,0.579505039533161,0.466404761986915,0.113100277546246,0.257172526879556,0.645131470210005
"Grb2",1.69642885633992,0.878009023196001,0.76501682681329,0.112992196382711,0.345619072553173,0.645131470210005
"Kctd12",1.57872342026702,0.872432904826237,0.759496098029945,0.112936806796292,0.344627498582053,0.645131470210005
"Rassf6",0.270885971350325,0.373432128818981,0.26073627594898,0.112695852870001,0.122560572319365,0.645131470210005
