EntrezID,Symbol,Length,logFC,AveExpr,t,P.Value,adj.P.Val,B
67586,Ubxn11,1577,1.25609634488348,3.29533497747646,4.00520901700086,0.00159816987619089,0.109327700254102,-1.30102223287157
18037,Nfkbie,2422,0.534933339852926,5.81324212060451,4.00177412198591,0.00160834006059089,0.109327700254102,-1.49570321233793
208154,Btla,3235,1.05673444773792,7.63240455182727,4.00055289818207,0.00161197192950065,0.109327700254102,-1.539075960545
233016,Blvrb,865,-1.29795096026914,7.78507569692787,-3.99744401227762,0.00162125573704043,0.109402009609077,-1.53657633271186
28000,Prpf19,6333,-0.627583200411924,4.44916400721857,-3.98689871217816,0.00165315783752258,0.110962756453134,-1.53678424836323
77832,Tchp,2863,0.902820533809778,2.62930564592123,3.98416380954195,0.00166153649446802,0.110962756453134,-1.29114640455674
18005,Nek2,3197,-0.601699582143715,3.29173383499598,-3.97936468643202,0.00167634476329629,0.110962756453134,-1.54489139943345
60505,Il21,3072,-1.6236527302835,-1.51800671078728,-3.97895836458309,0.0016776047304493,0.110962756453134,-0.972537787461514
620078,C130026I21Rik,1971,0.890127841042516,2.73683514742728,3.97567013788315,0.0016878371009575,0.111089613329523,-1.34771973116429
60361,Ms4a4b,1259,-1.7275262674589,3.20626594155429,-3.96476172821363,0.00172224378955773,0.112798525844514,-1.26809677120286
102774,Bbs4,2542,1.16410531228931,1.23335278148837,3.96169571102315,0.00173204360591818,0.112814452576304,-1.08832200385681
229363,Gmps,4567,-0.549118640690055,3.95256138460417,-3.95941389015241,0.00173937409106494,0.112814452576304,-1.56361713205539
54486,Hpgds,3298,1.06810597941351,1.64227629088364,3.95435297957037,0.00175574652458426,0.113068163500004,-1.3110286318152
320046,F730043M19Rik,1551,1.23212378004394,1.66673029089226,3.95219408990779,0.00176277878933056,0.113068163500004,-1.25970848859293
100500713,9530027J09Rik,1684,2.651212747918,-0.626002807303005,3.95033826932633,0.00176884697371183,0.113068163500004,-1.0593831507911
243958,Siglecg,2484,1.10669189309412,7.25575939691371,3.94566301797874,0.00178422945978345,0.113068163500004,-1.6336422384115
21885,Tle1,4369,1.17588551133533,1.12983426665374,3.9452489075707,0.00178559857035407,0.113068163500004,-1.16714254154292
68395,LOC68395,1064,1.35130952479596,6.20253660474582,3.93098530293238,0.00183342069563935,0.114836541806873,-1.55126345093947
23961,Oas1b,1840,1.09650745052576,3.03004445987904,3.93046769218054,0.00183518063226359,0.114836541806873,-1.3258107984736
16549,Khsrp,3999,-0.685642139290843,5.76432255796853,-3.92925523277274,0.00183930992789992,0.114836541806873,-1.658654263861
73658,Spns1,2782,0.765175076568141,3.72882266385591,3.91712011583164,0.00188116796285615,0.115047608424217,-1.55105159536444
