symbol,chromosome_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
Rpl9-ps6,19,0.5186673828531045,5.739562062077289,5.046926324765702,1.221534257681002e-4,0.012070054032525234,0.769493428304389
Lman1,18,-0.4890602386687597,5.233260736382049,-5.006255447156997,1.3252266623823018e-4,0.012709508351067914,0.7373874252674772
Txndc5,13,-0.496998729956144,6.771301518817615,-5.016162973023446,1.299160397658877e-4,0.012644229150295701,0.6974391688425943
Jchain,5,-0.7893107105094241,10.495891965592751,-4.814830530129627,1.949492429459201e-4,0.015991968400903372,0.68986518893567
Zfp280b,10,-0.7050224037607715,3.3340247049438427,-4.796477899346907,2.023412097584641e-4,0.016312170097629797,0.668596293904117
H13,2,-0.526072576628204,6.892531292811071,-4.991905672451312,1.3639375928678978e-4,0.012966570137513027,0.6568480691585252
Tatdn2,6,0.7393899883653923,3.2535482536630607,4.779591890790082,2.0939638733556316e-4,0.016653396829376527,0.6484217904343499
A530032D15Rik,1,-0.6972514637692426,3.443123860965318,-4.792803867190435,2.0385522701170413e-4,0.016312170097629797,0.6401098777211223
Srp68,11,-0.43449643167865126,5.624008359720424,-4.977408607385945,1.4042277575912503e-4,0.013082387601616199,0.633416561626059
Sp3os,2,-0.5393797682602335,4.634871430332671,-4.901566769346541,1.6358668140576332e-4,0.01445005845243642,0.6221797840356897
Prdx4,X,-0.501780267872693,6.025244832135407,-4.9649781459009175,1.439748257108417e-4,0.0133181819272802,0.5911935505154515
Oard1,17,-0.4248451630912573,5.73596042665756,-4.957738561286196,1.4608600010508277e-4,0.01332447342217199,0.5878759207720341
Hist3h2a,11,-0.5401510115798933,4.510563359415754,-4.8661027145106965,1.7573176824058463e-4,0.014980846099097684,0.5722329105419153
Hepacam2,6,-1.379270959449333,1.719985215354888,-4.62352061343954,2.8783681248274235e-4,0.021541451334712462,0.5524309843538218
Cd3e,9,0.5205141219051068,5.165117093941827,4.90654584356859,1.6195190416490635e-4,0.01445005845243642,0.5397098285013779
Selenok,14,-0.47860067453697663,6.9855703117052945,-4.92861309930262,0.00015490612075593461,0.013963074374420492,0.5336029271357488
Mcemp1,8,0.9371675519263762,3.299301837896476,4.707499635302133,2.4247266850457378e-4,0.01860335891355974,0.49986847715515204
Cd7,11,0.4504503043337138,7.051473675148411,4.893663702302729,1.6621637731907042e-4,0.014550068519279431,0.4675304833285159
Cela1,15,-0.4310627072123383,5.83804801350774,-4.900418750650236,1.639660086606295e-4,0.01445005845243642,0.46587877356528384
a,2,-1.2409949014744242,1.5765249794871958,-4.575817196327739,3.17386877938039e-4,0.023126687424278453,0.4639796591688192
Rnaset2a,17,0.5397803864297401,4.751500360148425,4.8292187865495055,1.893481279774995e-4,0.01583120277699055,0.45375878396583236
Ckap4,10,-0.6553701091642976,4.044098681518409,-4.745106207004231,2.2459922385163173e-4,0.017535609218060338,0.4173195640578431
Mrps18c,5,-0.42890934949742743,6.2602723375750156,-4.876411991778469,1.7210867505671265e-4,0.014827048019507374,0.4013578337824866
BC065403,9,-3.1583164378045785,-1.426179271453567,-5.143156235186654,1.0081335111026273e-4,0.010809696129017126,0.3921477257461836
Sapcd2,2,-0.6949792916666166,3.946088986940567,-4.714148097847187,2.3920990481567106e-4,0.01846162596751951,0.3752641240623982
Fn3krp,11,0.47666626322902417,4.958765502229186,4.8017967781830615,2.0016978139052446e-4,0.016312170097629797,0.3577542973148482
Fam83g,11,-2.045564833490216,0.5132392743646755,-4.592725318311437,3.065735689853596e-4,0.02246426438357329,0.34659659014460775
Smim24,10,0.9130588416058931,2.2894924421204745,4.513036129005243,3.6106695098831105e-4,0.024027531845615006,0.2807284296892867
Bhlha15,5,-1.2971668975135817,2.5825414660054076,-4.5224793732008495,3.541233954158577e-4,0.024027531845615006,0.2713790212149565
Siglech,7,1.6095582812897598,0.717396106886968,4.503547433476837,3.6818404833615883e-4,0.024253659305295553,0.2605739942096248
Wdr89,12,0.48333500037026855,5.663728383905092,4.793511352919706,2.0356278135927954e-4,0.016312170097629797,0.25595078590640075
Selenos,7,-0.4494428240646444,5.583997871991814,-4.775262589580595,2.1124552499176974e-4,0.01669863868162214,0.22240616048354056
5830428M24Rik,12,-0.7104575648431717,3.316586422777474,-4.57191930066481,3.199345526577341e-4,0.023182813168415698,0.2185459326233925
Gm5547,3,-0.5791993324165206,3.966905467724762,-4.621513186041194,2.890217139450125e-4,0.021541451334712462,0.17850790778591286
Mrps24,11,-0.41692604942767275,6.559411812659694,-4.767129369694493,2.1476480666549757e-4,0.016874562489988466,0.17700779818124168
Ache,5,-0.4241947025607633,5.358042901522198,-4.742339483661248,2.2586692851599607e-4,0.017535609218060338,0.17649875934867865
Ahsa1,12,-0.4696931241414797,5.806533484274454,-4.684314641000672,2.5421186066065815e-4,0.019389972506414995,0.022968702158729926
Arid1b,17,0.5566041082948314,4.277991296469646,4.567811032277095,3.2264236443616147e-4,0.023249858338899747,0.0043163638339205335
Gm21860,Y,-1.6289555746132174,0.705270299992311,-4.353179328952557,5.021764508596891e-4,0.029920018036360418,-0.008304666613803136
Atat1,17,-0.6210156239343041,3.7964953672112984,-4.503637712916738,3.68115662557069e-4,0.024253659305295553,-0.025819620955020106
Nelfcd,2,-0.4155408754009722,6.010504464214255,-4.661162466915664,2.6651588595688223e-4,0.020210271514741945,-0.03338110130136496
Zmat5,11,-0.5245903500290954,4.360286911157679,-4.5553985693564805,3.3096676783977524e-4,0.0233340516374821,-0.03611007062762628
Ptprs,17,0.5323080794969495,4.131488412372242,4.514266862932329,3.6015417635670935e-4,0.024027531845615006,-0.07914216136641183
Ankrd55,13,-1.4775143831924418,1.3190655820222639,-4.285315254651627,5.780322373983185e-4,0.03194607827282317,-0.08191980685532041
Cdh11,8,0.7833767843503185,2.6682570285589593,4.353295168880975,5.02056031973531e-4,0.029920018036360418,-0.09896025203716441
Cd5,19,0.5932725067671569,4.415803533446116,4.523257362842062,3.53557461181063e-4,0.024027531845615006,-0.11188538498369116
H2-DMa,17,0.420381427129743,6.765796767807224,4.621507512846142,2.8902506965994637e-4,0.021541451334712462,-0.1169791159088005
Clu,14,0.5526168009947856,7.813728251357803,4.557722403047196,3.2939175539178466e-4,0.0233340516374821,-0.13167853391090478
Ccm2,11,0.40666924637805746,5.82601999904378,4.61026240882837,2.9575556237337197e-4,0.021917839772931196,-0.13199026265822322
Nr2f6,8,0.5403939467971997,4.1249600136228874,4.487393771903911,3.806315241496357e-4,0.024822884847418493,-0.1329633874798537
Msi2,11,-0.5172951239634838,4.522453339574652,-4.515073065555661,3.595575335280018e-4,0.024027531845615006,-0.1499749663737706
Ltb,17,0.46556943239127513,6.56196333238719,4.602826392578461,3.0029408494054206e-4,0.022128450564290907,-0.1635855253046925
Rhoc,3,0.5098221689133995,4.602874867211496,4.514622283072358,3.598910176030402e-4,0.024027531845615006,-0.16489002745860848
Ap5s1,2,-0.5260540101932731,4.041192453128245,-4.433047998233018,4.2575288415959574e-4,0.02656965935739239,-0.22604413032211923
Krtcap2,3,-0.42017853256572035,6.71266212996619,-4.560178784182804,3.277352338948628e-4,0.0233340516374821,-0.24482311983347316
Lbh,17,0.479734224536533,6.447635639687926,4.558104179058533,3.291337346781694e-4,0.0233340516374821,-0.2578531315849002
Adssl1,12,-0.5961764248860164,3.539615577970877,-4.361569142411313,4.935306367440619e-4,0.029920018036360418,-0.260184012628363
Mns1,9,-0.44538071541361557,5.361492925143264,-4.5303522906028055,3.484388260718319e-4,0.024027531845615006,-0.2608555801493466
Hbq1b,11,-0.7938464091972639,5.376816100099334,-4.519151539420004,3.5655463075587773e-4,0.024027531845615006,-0.2701509186937372
Cdkn1b,6,0.3964894397357428,5.778623936167566,4.540337339823425,3.4136306034821044e-4,0.023809617091559942,-0.27452530011018705
Hist1h2bc,13,-0.45978882136332544,6.412121629066053,-4.548986518063005,3.35352669953511e-4,0.023516155237653998,-0.2754535898532673
